order_id,customer_id,customer_name,customer_email,product_id,product_category,unit_price,quantity,country,order_status,order_date
ORD1000,CUST45,David Tapia,oprice@example.net,PROD130,Home,196.9,9.0,TM,Returned,2026-04-02
ORD1001,CUST442,Karen Daniels,emilymeyers@example.net,PROD104,Home,32.02,2.0,IQ,Returned,2026-03-16
ORD1002,CUST359,Jamie Munoz,ymontgomery@example.org,PROD161,Electronics,229.17,6.0,PA,Cancelled,2026-01-30
ORD1003,CUST192,William Ellis,harrisondonald@example.org,PROD172,Apparel,152.37,1.0,AM,Cancelled,2026-03-02
ORD1004,CUST198,Andrew Cain,jclark@example.net,PROD148,Beauty,326.67,1.0,BA,Cancelled,2026-02-13
ORD1005,CUST130,David Duke,batesjessica@example.org,PROD199,Electronics,385.8,4.0,KR,Completed,2026-02-28
ORD1006,CUST284,Roberta Rollins,qaguirre@example.com,PROD138,Electronics,455.33,5.0,FR,Cancelled,2026-03-15
ORD1007,CUST286,Jason Munoz,pschroeder@example.com,PROD176,Electronics,332.01,10.0,JP,Cancelled,2026-03-20
ORD1008,CUST403,Devin Fisher,alexander30@example.net,PROD118,Beauty,-4.9278835679935895,4.0,PA,Completed,2026-04-13
ORD1009,CUST156,Shannon Sawyer,hansonthomas@example.com,PROD174,Electronics,328.1,1.0,UG,Completed,2026-02-25
ORD1010,CUST7,Christopher Foster,bryanttimothy@example.com,PROD175,Beauty,124.49,7.0,MN,Completed,2026-03-07
ORD1011,CUST292,Kaitlyn Murphy,dgriffin@example.com,PROD123,Electronics,257.76,5.0,IT,Cancelled,2026-03-19
ORD1012,CUST446,Austin Chavez,amy81@example.com,PROD183,Home,233.43,3.0,KE,Returned,2026-04-23
ORD1013,CUST113,Leonard James,tjackson@example.com,PROD147,Beauty,105.24,2.0,IN,Returned,2026-02-07
ORD1014,CUST172,Kevin Wade,gmcdonald@example.net,PROD200,Electronics,136.05,7.0,DJ,Returned,2026-04-10
ORD1015,CUST273,Timothy Bryant,kevinpotts@example.com,PROD175,Apparel,320.26,7.0,KI,Cancelled,2026-02-12
ORD1016,CUST421,Thomas Perez,katherine00@example.org,PROD105,Home,229.07,1.0,FR,Cancelled,2026-03-28
ORD1017,CUST294,Christopher Wagner,gonzalezandrew@example.org,PROD180,Beauty,456.56,4.0,FR,Completed,2026-02-11
ORD1018,CUST416,Brian Silva,johnsanders@example.net,PROD115,Electronics,127.69,7.0,AL,Cancelled,2026-04-27
ORD1019,CUST139,Joshua Murillo,irodriguez@example.com,PROD112,Home,373.83,1.0,TT,Cancelled,2026-04-16
ORD1020,CUST105,Peter Ho,josecarter@example.com,PROD193,Home,266.16,4.0,NO,Completed,2026-03-26
ORD1021,CUST100,Tonya Madden,christian04@example.com,PROD161,Apparel,402.12,2.0,SE,Returned,2026-03-25
ORD1022,CUST48,Jessica Clark,john40@example.org,PROD138,Electronics,472.93,10.0,CG,Completed,2026-04-13
ORD1023,CUST45,James Jordan,jpotter@example.com,PROD108,Beauty,443.4,6.0,SB,Returned,2026-04-25
ORD1024,CUST206,Kenneth Brown,andrew03@example.com,PROD119,Electronics,366.64,7.0,JO,Completed,2026-03-06
ORD1025,CUST173,Samantha Morrison,laurencollins@example.net,PROD183,Home,377.11,6.0,BY,Returned,2026-04-26
ORD1026,CUST458,Charles Martin,davisdana@example.net,PROD123,Electronics,192.42,6.0,AD,Cancelled,2026-03-02
ORD1027,CUST446,Christopher Garcia,johngross@example.com,PROD104,Apparel,159.84,2.0,SB,Completed,2026-03-22
ORD1028,CUST121,Steven Nicholson,samantha41@example.org,PROD158,Home,153.05,8.0,LR,Cancelled,2026-02-21
ORD1029,CUST198,Charles Wolfe,jasonharper@example.com,PROD164,Electronics,481.9,7.0,PE,Completed,2026-03-28
ORD1030,CUST31,Nathaniel Miles,karen01@example.com,PROD146,Home,106.0,2.0,JP,Returned,2026-03-30
ORD1031,CUST124,Christopher Spencer,vazquezrebecca@example.net,PROD114,Beauty,365.07,5.0,VC,Completed,2026-05-29 13:14:51.460583
ORD1032,CUST399,Joshua Clark,gibsonbethany@example.com,PROD182,Home,176.87,1.0,PT,Returned,2026-02-02
ORD1033,CUST313,Richard Howard,emiller@example.org,PROD167,Apparel,249.59,9.0,OM,Returned,2026-03-16
ORD1034,CUST115,Zachary Weiss,tracichaney@example.com,PROD137,Beauty,456.82,4.0,TZ,Returned,2026-03-24
ORD1035,CUST129,Lisa Dixon,tmejia@example.com,PROD115,Apparel,355.29,5.0,NO,Completed,2026-03-19
ORD1036,CUST295,Mallory Scott,farmervictoria@example.net,PROD178,Apparel,209.82,6.0,IR,Completed,2026-02-16
ORD1037,CUST272,Matthew Matthews,salinasjessica@example.com,PROD157,Beauty,315.37,7.0,AZ,Completed,2026-03-02
ORD1038,CUST115,Maurice James,hughestony@example.net,PROD157,Beauty,111.43,4.0,SK,Cancelled,2026-03-12
ORD1039,CUST292,Phillip Simon DVM,vconley@example.com,PROD170,Electronics,284.4,4.0,NE,Completed,2026-02-20
ORD1040,CUST127,Jeffrey Harris,gbaker@example.org,PROD160,Apparel,48.46,2.0,AT,Returned,2026-02-07
ORD1041,CUST420,Holly Rogers,holmesjustin@example.com,PROD172,Apparel,458.75,10.0,TL,Completed,2026-04-27
ORD1042,CUST159,John Lee,ruizmary@example.net,PROD125,Electronics,173.68,1.0,NG,Completed,2026-02-09
ORD1043,CUST280,Ryan Fisher,melaniesimpson@example.org,PROD183,Apparel,445.28,10.0,NE,Returned,2026-03-11
ORD1044,CUST182,Laura Martin,melissa95@example.net,PROD130,Home,442.46,4.0,CN,Returned,2026-03-11
ORD1045,CUST216,Zachary Jackson,lindasmith@example.com,PROD185,Electronics,394.67,5.0,SG,Returned,2026-03-30
ORD1046,CUST273,Dawn Jenkins,floydtonya@example.com,PROD113,Beauty,59.39,7.0,BE,Returned,2026-04-07
ORD1047,CUST338,Tyrone Coffey,nicholeburns@example.com,PROD104,Electronics,435.99,7.0,TV,Cancelled,2026-04-17
ORD1048,CUST116,Brenda Hensley,collinstimothy@example.net,PROD128,Home,407.57,9.0,AO,Returned,2026-04-08
ORD1049,CUST252,John Wolf,grace78@example.com,PROD168,Apparel,407.59,1.0,GM,Completed,2026-02-18
ORD1050,CUST225,Lisa Vega,schultzryan@example.net,PROD181,Apparel,270.24,3.0,BD,Returned,2026-03-30
ORD1051,CUST80,Cassandra Martin,ricetyler@example.org,PROD124,Apparel,34.22,2.0,SV,Completed,2026-03-12
ORD1052,CUST198,Logan Kirk,mcarpenter@example.com,PROD162,Electronics,40.61,10.0,YE,Returned,2026-03-29
ORD1053,CUST286,Michael Carter,stephensbrittany@example.com,PROD115,Home,230.1,9.0,BW,Cancelled,2026-03-13
ORD1054,CUST265,Catherine Salazar,laura17@example.org,PROD185,Home,198.15,5.0,FM,Returned,2026-03-08
ORD1055,CUST29,Tony Adkins,kenneth04@example.com,PROD169,Home,224.87,2.0,CH,Completed,2026-03-29
ORD1056,CUST354,Adam Lopez,william59@example.net,PROD130,Beauty,181.75,7.0,LV,Completed,2026-04-19
ORD1057,CUST191,Michael Jacobs,ybrowning@example.org,PROD177,Beauty,174.37,6.0,ER,Cancelled,2026-04-18
ORD1058,CUST109,Tiffany Wright,psullivan@example.net,PROD157,Apparel,440.28,8.0,NR,Cancelled,2026-02-22
ORD1059,CUST89,Bruce Tanner,paulelizabeth@example.com,PROD187,Apparel,321.72,10.0,FM,Cancelled,2026-02-18
ORD1060,CUST323,Melissa Jones,melissa78@example.org,PROD115,Apparel,285.88,2.0,HU,Cancelled,2026-04-07
ORD1061,CUST445,Mary Miller,beltranbrett@example.org,PROD192,Electronics,180.62,2.0,SE,Returned,2026-03-24
ORD1062,CUST344,Ricardo Cervantes,jamesamber@example.net,PROD159,Apparel,121.36,2.0,SN,Completed,2026-04-10
ORD1063,CUST233,Alexander Alvarez,amber90@example.net,PROD109,Beauty,121.92,7.0,KP,Cancelled,2026-03-06
ORD1064,CUST432,Regina Cooper,nicolefernandez@example.net,PROD168,Home,295.23,8.0,CF,Cancelled,2026-04-28
ORD1065,CUST490,Mary Scott,kathy64@example.org,PROD154,Home,369.85,2.0,BF,Returned,2026-03-04
ORD1066,CUST284,Ashley Nelson,cheyenne61@example.net,PROD148,Beauty,423.78,6.0,CF,Cancelled,2026-04-17
ORD1067,CUST261,Deborah Roberson,garzaalbert@example.com,PROD144,Home,470.14,9.0,BB,Completed,2026-03-18
ORD1068,CUST153,Darrell Rose,stevenchen@example.net,PROD145,Apparel,122.47,5.0,LK,Cancelled,2026-03-18
ORD1069,CUST150,Jamie Petersen,keithgarrett@example.net,PROD134,Home,47.23,8.0,CY,Completed,2026-03-20
